cell_name,cell_id,cell_common_id,class,mito_id,cell_vol,mito_vol,cell_surf,mito_surf,x_pos,y_pos,z_pos,mito_len,dist_pre,dist_post
SMDDL,17,170,3,6231,5.053297056546818,0.0073154634448896,44.03221973149027,0.137679120990044,15.139086065934068,17.084641054945056,8.342032967032967,0.3839930756143254,8.8334999741911,0.3856324778627685
SMDDL,17,170,3,6700,5.053297056546818,0.0067125406334976,44.03221973149027,0.154140116023981,8.074172550898203,9.87337120958084,8.987724550898202,0.8111862730593515,4.835642683103273,1.3609946819937337
SAADR,18,150,2,3082,2.309636511026382,0.0195346990891008,25.19735053525467,0.3068552823633462,16.807253333333332,9.569671901234567,4.0690329218107,0.7683929230846822,0.6319750717557593,1.3697572949584735
SAADR,18,150,2,3419,2.309636511026382,0.02914126921728,25.19735053525467,0.4683239713533926,18.729115365517245,11.204350940689654,4.530551724137931,0.9279671342113208,0.2963299076737794,1.284572692484644
SAADR,18,150,2,3690,2.309636511026382,0.014671121743872,25.19735053525467,0.2937287531497723,9.128873030136988,10.929048197260274,4.847671232876713,1.0227272157706349,6.6701218462558876,3.9838864901171527
SAADR,18,150,2,6511,2.309636511026382,0.0107722208968704,25.19735053525467,0.1839827430579175,20.14956895522388,9.439843343283584,8.694029850746269,0.7170468974281391,4.5448365367131585,4.933651476531607
SAADR,18,150,2,6785,2.309636511026382,0.0061900075302912,25.19735053525467,0.1369138126307681,21.217226805194805,8.914385454545455,9.03474025974026,0.4418985525501746,5.625394441325265,5.844640949580624
URXR,19,181,1,4338,3.6119899784871934,0.0097271546904576,27.41308660909174,0.257771168766514,10.297851768595043,9.049553454545451,6.049173553719009,1.416006737805001,2.0741168902366427,2.0792444681879094
URXR,19,181,1,5435,3.6119899784871934,0.0175249563844608,27.41308660909174,0.3073035896208133,8.537228917431193,12.405186935779817,7.31961009174312,1.453669488809457,0.358375012371326,0.4251254679571656
URXR,19,181,1,5448,3.6119899784871934,0.0308696479432704,27.41308660909174,0.5823191913773726,10.076352,17.216448,7.350390625,1.8814394098461729,0.273650409624928,0.9159895348135217
URXR,19,181,1,5505,3.6119899784871934,0.0517709720715264,27.41308660909174,0.7432595451977346,7.951919701863353,14.133470608695651,7.475892857142858,2.725870509389815,0.4200272492779805,0.3550001479582964
RIH,20,124,2,640,9.30004417086751,0.0101291032313856,70.05971366139421,0.1506562144511304,16.190512761904763,10.141110857142856,0.6904761904761906,0.5813068875892478,0.3195193197998369,0.6811124302909055
RIH,20,124,2,686,9.30004417086751,0.023915938185216,70.05971366139421,0.2951537028343872,15.678992349579833,9.9496452302521,0.8126050420168067,0.6057845512286489,0.467999445351138,1.17580553512421
RIH,20,124,2,687,9.30004417086751,0.0103702723559424,70.05971366139421,0.1702403412375549,16.47954158139535,10.207994046511628,0.8065891472868216,0.4781324512455361,0.5167693667041902,0.551598726185976
RIH,20,124,2,703,9.30004417086751,0.0166004747403264,70.05971366139421,0.2220249184511308,16.933816096852304,13.170653288135592,0.7480629539951575,0.8030942025417281,0.47313696109795683,0.4287525940282776
