name,id,type,class,neurotransmitter1,neurotransmitter2,l1_vol,l2_vol,l3_vol,adult_vol,dauer_vol
AWAR,62,1,AWA,Unknown,,0.4822401024,1.37742336,1.83354972438528,3.57448704,0.9587712
AWBL,63,1,AWB,Acetylcholine,,0.5126488064,0.94958592,1.22823515308032,2.41975296,0.7976448
AWBR,64,1,AWB,Acetylcholine,,0.46521122816,1.07022336,1.24707026239488,2.34971136,0.7456768
AWCL,65,1,AWC,Glutamate,,1.15502743552,3.07531776,4.42379249123328,7.11134208,2.3958016
AWCR,66,1,AWC,Glutamate,,1.28165347328,2.58637824,3.12167853195264,6.1306368,2.42688
BAGL,67,1,BAG,Glutamate,,1.3057916928,2.50896384,3.99496987017216,6.99159552,2.077696
BAGR,68,1,BAG,Glutamate,,1.07760058368,2.38593024,3.93401321127936,7.36662528,2.5371648
BDUL,69,2,BDU,Unknown,,0.33629929472,0.7425024,0.9092009558016,2.49028608,0.5709824
BDUR,70,2,BDU,Unknown,,0.42725277696,0.73414656,0.9030554615808,2.34667008,0.6066688
CEPDL,71,1,CEP,Dopamine,,0.8002732032,2.07301632,2.41574394986496,5.32690944,1.7805824
CEPDR,72,1,CEP,Dopamine,,0.9004122112,1.78977792,2.62854414434304,5.7626112,1.7662464
CEPVL,73,1,CEP,Dopamine,,0.83032539136,2.01265152,2.54154387750912,5.77953792,1.7683968
CEPVR,74,1,CEP,Dopamine,,0.70787268608,1.6745472,2.29123955884032,5.41006848,1.6302592
DVA,75,1,DVA,Acetylcholine,,1.535115264,4.03627008,6.07865781878784,12.29451264,3.355136
DVC,76,2,DVC,Glutamate,,1.37912909824,2.76612096,3.75419937226752,7.4709504,2.0191232
FLPL,77,1,FLP,Glutamate,,0.2251292672,0.53643264,1.006532296704,2.16201216,0.1965568
FLPR,78,1,FLP,Glutamate,,0.15407775744,0.55584768,0.56568443830272,1.67927808,0.1382912
HSNL,79,3,HSN,Acetylcholine,,0,0,0,3.8596608,0
HSNR,80,3,HSN,Acetylcholine,,0,0,0,2.94767616,1.2160512
IL1DL,81,1,IL1,Glutamate,,0.84154515456,1.62035712,2.23284075429888,4.29462528,1.2719104
IL1DR,82,1,IL1,Glutamate,,0.808976384,1.77583104,2.36159716294656,4.3132416,1.3250048
IL1L,83,1,IL1,Glutamate,,0.7179599872,2.07842304,2.73560861933568,5.26322688,1.8769408
IL1R,84,1,IL1,Glutamate,,0.74646028288,1.90884864,2.64186491830272,5.56867584,2.0327424
IL1VL,85,1,IL1,Glutamate,,0.80031514624,1.66182912,2.14471104528384,4.09469952,1.2560896
IL1VR,86,1,IL1,Glutamate,,0.74715234304,1.71365376,2.17726555521024,4.34577408,1.1897856
IL2DL,87,1,IL2,Acetylcholine,,0.49895440384,0.83460096,1.0915726491648,2.295552,0.9910784
IL2DR,88,1,IL2,Acetylcholine,,0.58065944576,0.92184576,1.26241738850304,2.08416768,1.1040256
IL2L,89,1,IL2,Acetylcholine,,0.620756992,1.44715776,1.9735341170688,3.35612928,1.3989888
IL2R,90,1,IL2,Acetylcholine,,0.63751323648,1.42307328,1.85773307461632,3.36288768,1.3705216
IL2VL,91,1,IL2,Acetylcholine,,0.51571064832,0.90236928,0.99985530028032,2.19881472,1.0118656
IL2VR,92,1,IL2,Acetylcholine,,0.49866080256,0.85948416,1.16329222766592,1.99225344,0.955648
OLLL,93,1,OLL,Glutamate,,1.08928172032,2.62828032,3.31305254387712,6.49439232,2.4317952
